loan_record_id,AsOfDate,Program,LocationID,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFY,FirstDisbursementDate,ProcessingMethod,InitialInterestRate,FixedorVariableInterestInd,TermInMonths,NaicsCode,NaicsDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidInFullDate,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported,CollateralInd,SoldSecMrktInd,approval_year,approval_month,approval_quarter,guarantee_pct,charge_off_flag,paid_in_full_flag
1,2026-06-30,7A,0029805,"AMERIPRO CONSTRUCTION SERVICES, INC.",1403 SENTRY LANE,Norristown,PA,19403,"TD Bank, National Association",18409,,2035 Limestone Rd,WILMINGTON,DE,19808,25000.0,12500.0,2019-10-01,2020,2019-10-31,SBA Express Program,11.04,V,120.0,236220,Commercial and Institutional Building Construction,,,MONTGOMERY,PA,PHILADELPHIA DISTRICT OFFICE,04,PARTNERSHIP,Unanswered,P I F,2024-11-30,,0.0,Y,5.0,N,,2019,10,4,0.5,0,1
2,2026-06-30,7A,0084894,Meluota Corp,2702 ASTORIA BLVD,ASTORIA,NY,11102,"Santander Bank, National Association",29950,,"824 N Market St, Ste 100",WILMINGTON,DE,19801,95800.0,47900.0,2019-10-01,2020,2019-10-31,SBA Express Program,9.0,V,120.0,722511,Full-Service Restaurants,,,QUEENS,NY,NEW YORK DISTRICT OFFICE,10,CORPORATION,Existing or more than 2 years old,P I F,2023-11-30,,0.0,Y,3.0,N,,2019,10,4,0.5,0,1
3,2026-06-30,7A,0053803,THOMAS W CHASE,1700 GIDGET LN,COLFAX,CA,95713,"U.S. Bank, National Association",06548,,425 Walnut St,Cincinnati,OH,45202,40000.0,20000.0,2019-10-01,2020,2020-02-29,SBA Express Program,6.99,F,60.0,561730,Landscaping Services,,,PLACER,CA,SACRAMENTO DISTRICT OFFICE,01,INDIVIDUAL,Unanswered,P I F,2024-11-30,,0.0,N,0.0,Y,,2019,10,4,0.5,0,1
4,2026-06-30,7A,0123499,"513 SOLUTIONS GROUP, LLC",120 FIREBIRD RUN,CIBOLO,TX,78108,BayFirst National Bank,34997,,700 Central Avenue,Saint Petersburg,FL,33701,125000.0,106250.0,2019-10-01,2020,2019-10-31,Preferred Lenders Program,7.75,V,120.0,561990,All Other Support Services,,,GUADALUPE,TX,SAN ANTONIO DISTRICT OFFICE,15,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,N,3.0,N,Y,2019,10,4,0.85,0,0
5,2026-06-30,7A,0070400,"Tian Shan International, LLC",2503 BAGBY ST,HOUSTON,TX,77006,Golden Bank National Association,26223,,9315 Bellaire Blvd,HOUSTON,TX,77036,250000.0,187500.0,2019-10-01,2020,2019-12-31,Preferred Lenders Program,6.0,V,90.0,722511,Full-Service Restaurants,S2561,Poke Burri,HARRIS,TX,HOUSTON DISTRICT OFFICE,02,CORPORATION,Unanswered,P I F,2024-01-31,,0.0,N,4.0,Y,,2019,10,4,0.75,0,1
6,2026-06-30,7A,0053803,CNC Teck Scale,761 23 RD E,CARSON,CA,90745,"U.S. Bank, National Association",06548,,425 Walnut St,Cincinnati,OH,45202,35000.0,17500.0,2019-10-01,2020,,SBA Express Program,6.74,F,60.0,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,LOS ANGELES,CA,LOS ANGELES DISTRICT OFFICE,44,CORPORATION,Unanswered,CANCLD,,,0.0,N,2.0,Y,,2019,10,4,0.5,0,0
7,2026-06-30,7A,0029805,"PINE GROVE US, LLC",600 BRICKELL AVENUE,Miami,FL,33131,"TD Bank, National Association",18409,,2035 Limestone Rd,WILMINGTON,DE,19808,25000.0,12500.0,2019-10-01,2020,,SBA Express Program,10.74,F,120.0,443142,Electronics Stores,,,MIAMI-DADE,FL,SOUTH FLORIDA DISTRICT OFFICE,24,CORPORATION,Unanswered,CANCLD,,,0.0,Y,4.0,N,,2019,10,4,0.5,0,0
8,2026-06-30,7A,0455644,"Stratton Family Dental, LLC",310 S.  5TH AVE,PRINCETON,IN,47670,Live Oak Banking Company,58665,,1741 Tiburon Dr,WILMINGTON,NC,28403,700000.0,525000.0,2019-10-01,2020,2020-02-03,Preferred Lenders Program,6.25,F,306.0,621210,Offices of Dentists,,,GIBSON,IN,INDIANA DISTRICT OFFICE,08,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,N,2.0,Y,Y,2019,10,4,0.75,0,0
9,2026-06-30,7A,0058036,"L. N. Zimmermann, Inc.",7790 Mainland Dr Ste 101,San Antonio,TX,78250,Fifth Third Bank,06672,,38 Fountain Sq Plz,CINCINNATI,OH,45263,100000.0,50000.0,2019-10-01,2020,2020-01-31,SBA Express Program,7.0,V,120.0,238220,"Plumbing, Heating, and Air-Conditioning Contractors",,,BEXAR,TX,SAN ANTONIO DISTRICT OFFICE,20,CORPORATION,Existing or more than 2 years old,P I F,2021-09-30,,0.0,Y,0.0,Y,,2019,10,4,0.5,0,1
10,2026-06-30,7A,0070468,"Stillpoint Therapies, LLC","2469 Earl Campbell Parkway, Suite a",Tyler,TX,75701,Austin Bank Texas National Association,03276,,200 E Commerce St,JACKSONVILLE,TX,75766,295500.0,221625.0,2019-10-01,2020,2019-10-31,7a General,8.0,V,120.0,621399,Offices of All Other Miscellaneous Health Practitioners,,,SMITH,TX,DALLAS / FT WORTH DISTRICT OFFICE,01,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,,,0.0,N,5.0,Y,,2019,10,4,0.75,0,0
