NaicsDescription,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
"""Research and Development in the Physical, Engineering, and Life Sciences""",3,565000.0,188333.33333333334,282500.0,5.666666666666667,0,1,0.5,0.0,33.333333333333336
Abrasive Product Manufacturing,16,14010500.0,875656.25,10402375.0,8.5,0,4,0.7424699332643374,0.0,25.0
Adhesive Manufacturing,12,8722500.0,726875.0,7195750.0,12.166666666666666,0,8,0.8249641731155058,0.0,66.66666666666667
Administration of Air and Water Resource and Solid Waste Management Programs,4,5123000.0,1280750.0,3729550.0,23.25,0,1,0.7280011711887566,0.0,25.0
Administration of Education Programs,9,717200.0,79688.88888888889,539550.0,8.0,1,1,0.7523006134969326,11.11111111111111,11.11111111111111
Administration of General Economic Programs,2,4862500.0,2431250.0,3403750.0,41.5,0,1,0.7,0.0,50.0
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",2,151500.0,75750.0,128775.0,2.0,0,0,0.85,0.0,0.0
Administration of Public Health Programs,3,229000.0,76333.33333333333,194650.0,3.0,0,0,0.85,0.0,0.0
Administration of Urban Planning and Community and Rural Development,4,500000.0,125000.0,250000.0,6.75,0,1,0.5,0.0,25.0
Administrative Management and General Management Consulting Services,2455,622151700.0,253422.28105906313,455399425.0,7.0505091649694505,103,357,0.731974894547423,4.1955193482688395,14.541751527494908
Advertising Agencies,990,473734000.0,478519.1919191919,354471480.0,10.167676767676769,25,125,0.7482500306078939,2.525252525252525,12.626262626262626
Advertising Material Distribution Services,64,25051400.0,391428.125,18253240.0,6.203125,2,18,0.7286315335669863,3.125,28.125
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",160,45725300.0,285783.125,34268625.0,5.86875,7,24,0.7494456023251898,4.375,15.0
Agents for Wireless Telecommunications Services,24,22184800.0,924366.6666666666,16520650.0,22.208333333333332,0,2,0.7446832966715949,0.0,8.333333333333334
Air Traffic Control,4,2339000.0,584750.0,1748850.0,47.5,0,1,0.7476913210773835,0.0,25.0
Air and Gas Compressor Manufacturing,11,13088000.0,1189818.1818181819,10142850.0,13.545454545454545,0,4,0.7749732579462103,0.0,36.36363636363637
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,72,47414000.0,658527.7777777778,34984285.0,14.11111111111111,0,12,0.7378471548487788,0.0,16.666666666666668
Aircraft Engine and Engine Parts Manufacturing,44,35959400.0,817259.0909090909,28919425.0,24.454545454545453,0,15,0.8042243474585227,0.0,34.09090909090909
Aircraft Manufacturing,32,35104500.0,1097015.625,25441365.0,19.78125,3,4,0.7247322992778703,9.375,12.5
All Other Amusement and Recreation Industries,2296,1582259000.0,689137.1951219512,1194237188.86,16.151132404181183,29,332,0.7547671960532377,1.2630662020905923,14.45993031358885
All Other Animal Production,58,14355900.0,247515.5172413793,11037365.0,5.362068965517241,2,7,0.7688382476891035,3.4482758620689653,12.068965517241379
All Other Automotive Repair and Maintenance,759,272086200.0,358479.8418972332,204665782.2,5.5230566534914365,14,127,0.752209344685618,1.844532279314888,16.73254281949934
All Other Basic Organic Chemical Manufacturing,34,20686000.0,608411.7647058824,16806640.0,8.705882352941176,0,6,0.8124644687228076,0.0,17.647058823529413
All Other Business Support Services,278,115034400.0,413792.8057553957,87337570.0,8.140287769784173,9,54,0.7592300216283129,3.237410071942446,19.424460431654676
All Other Consumer Goods Rental,376,168988000.0,449436.170212766,124601000.0,10.14095744680851,6,77,0.7373363789144791,1.5957446808510638,20.47872340425532
All Other Converted Paper Product Manufacturing,44,38473500.0,874397.7272727273,29268840.0,9.886363636363637,0,13,0.7607532457405747,0.0,29.545454545454547
All Other General Merchandise Retailers,1082,296630300.0,274150.0,215182075.0,5.045286506469501,28,94,0.7254217623755901,2.587800369685767,8.687615526802219
All Other General Merchandise Stores,150,46001700.0,306678.0,34810845.7,4.966666666666667,6,40,0.7567295491253585,4.0,26.666666666666668
All Other Grain Farming,44,15517600.0,352672.7272727273,11073325.0,3.9545454545454546,0,12,0.7135977857400629,0.0,27.272727272727273
All Other Health and Personal Care Retailers,302,101588900.0,336387.0860927152,75401270.0,6.9635761589403975,5,16,0.7422195732014029,1.6556291390728477,5.298013245033113
All Other Health and Personal Care Stores,177,88487100.0,499927.1186440678,71467383.0,7.6440677966101696,10,49,0.8076587773811098,5.649717514124294,27.683615819209038
All Other Home Furnishings Retailers,319,101062700.0,316810.97178683383,74043720.0,5.407523510971787,4,20,0.7326513144810103,1.2539184952978057,6.269592476489028
All Other Home Furnishings Stores,187,110304600.0,589864.1711229946,87815655.0,8.133689839572192,4,64,0.7961196087923804,2.1390374331550803,34.224598930481285
All Other Industrial Machinery Manufacturing,89,80246600.0,901647.1910112359,60375705.0,11.898876404494382,0,4,0.7523771100582455,0.0,4.49438202247191
All Other Information Services,61,31916800.0,523226.2295081967,23497285.0,8.688524590163935,1,27,0.7362042873972328,1.639344262295082,44.26229508196721
All Other Insurance Related Activities,133,56042500.0,421372.1804511278,41809645.0,7.12781954887218,5,31,0.746034616585627,3.7593984962406015,23.30827067669173
All Other Leather Good and Allied Product Manufacturing,12,7267500.0,605625.0,5853800.0,4.0,0,7,0.8054764361885105,0.0,58.333333333333336
All Other Legal Services,237,56386400.0,237917.29957805906,41796610.0,6.2025316455696204,7,39,0.7412533873416285,2.9535864978902953,16.455696202531644
All Other Metal Ore Mining,1,1458000.0,1458000.0,1093500.0,2.0,0,1,0.75,0.0,100.0
All Other Miscellaneous Ambulatory Health Care Services,209,66058100.0,316067.4641148325,49172405.0,13.602870813397129,9,42,0.7443811584044955,4.30622009569378,20.095693779904305
All Other Miscellaneous Chemical Product and Preparation Manufacturing,105,92436300.0,880345.7142857143,70339900.0,17.2,0,35,0.7609553822470176,0.0,33.333333333333336
All Other Miscellaneous Crop Farming,119,37446600.0,314677.3109243697,28182290.0,8.882352941176471,0,36,0.7525994349286718,0.0,30.252100840336134
All Other Miscellaneous Electrical Equipment and Component Manufacturing,144,124458000.0,864291.6666666666,94114650.0,21.083333333333332,1,42,0.7561960661427951,0.6944444444444444,29.166666666666668
All Other Miscellaneous Fabricated Metal Product Manufacturing,675,548547600.0,812663.1111111111,415088606.0,12.228148148148149,6,159,0.7567048073859042,0.8888888888888888,23.555555555555557
All Other Miscellaneous Food Manufacturing,251,155924300.0,621212.3505976095,119671290.0,15.195219123505977,13,44,0.7674960862418494,5.179282868525896,17.529880478087648
All Other Miscellaneous General Purpose Machinery Manufacturing,144,103648700.0,719782.6388888889,78128821.04,8.819444444444445,5,36,0.7537848621352704,3.4722222222222223,25.0
All Other Miscellaneous Manufacturing,561,365058200.0,650727.6292335116,277011057.6,12.219251336898395,10,124,0.7588134100261275,1.7825311942959001,22.10338680926916
All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,24,27740900.0,1155870.8333333333,21879470.0,14.083333333333334,0,6,0.7887080087524198,0.0,25.0
All Other Miscellaneous Retailers,1275,438671700.0,344056.23529411765,321723535.0,4.844705882352941,34,69,0.733403898633078,2.6666666666666665,5.411764705882353
All Other Miscellaneous Schools and Instruction,617,235819200.0,382202.9173419773,180152200.2,11.66612641815235,14,130,0.7639420377984489,2.2690437601296596,21.06969205834684
All Other Miscellaneous Store Retailers (except Tobacco Stores),666,279489400.0,419653.7537537537,219190920.0,8.084084084084084,27,233,0.7842548590393769,4.054054054054054,34.98498498498498
All Other Miscellaneous Textile Product Mills,101,50100600.0,496045.54455445544,38847625.0,10.396039603960396,0,19,0.7753924104701341,0.0,18.81188118811881
All Other Miscellaneous Waste Management Services,277,129595900.0,467855.2346570397,98627350.0,9.227436823104693,1,78,0.7610375791209444,0.36101083032490977,28.15884476534296
All Other Miscellaneous Wood Product Manufacturing,298,192011500.0,644333.8926174496,141785325.0,12.808724832214764,5,74,0.7384210060334928,1.6778523489932886,24.83221476510067
All Other Motor Vehicle Dealers,4,7685000.0,1921250.0,5742500.0,8.5,0,1,0.747234873129473,0.0,25.0
All Other Motor Vehicle Parts Manufacturing,1,100000.0,100000.0,50000.0,0.0,0,0,0.5,0.0,0.0
All Other Nondepository Credit Intermediation,11,4966100.0,451463.63636363635,4284775.0,7.818181818181818,0,3,0.862804816656934,0.0,27.272727272727273
All Other Nonmetallic Mineral Mining,2,172000.0,86000.0,138500.0,1.0,1,0,0.8052325581395349,50.0,0.0
All Other Outpatient Care Centers,379,209627100.0,553105.8047493404,159482700.0,13.683377308707124,3,71,0.7607923784663337,0.7915567282321899,18.733509234828496
All Other Personal Services,2687,892710700.0,332233.23409006326,675364739.0,8.151842203200596,56,429,0.7565325911294667,2.084108671380722,15.965761071827316
All Other Petroleum and Coal Products Manufacturing,1,132500.0,132500.0,112625.0,1.0,0,0,0.85,0.0,0.0
All Other Pipeline Transportation,14,1118000.0,79857.14285714286,878350.0,2.4285714285714284,1,3,0.7856440071556351,7.142857142857143,21.428571428571427
All Other Plastics Product Manufacturing,355,389923100.0,1098374.9295774647,298321690.0,21.005633802816902,4,95,0.7650782679969461,1.1267605633802817,26.760563380281692
"All Other Professional, Scientific, and Technical Services",2858,1290524000.0,451547.9356193142,966577832.0,10.53778866340098,46,568,0.7489809038809042,1.609517144856543,19.8740377886634
All Other Publishers,65,27688700.0,425980.0,20677715.0,7.092307692307692,2,11,0.7467925543633324,3.076923076923077,16.923076923076923
All Other Rubber Product Manufacturing,48,32027400.0,667237.5,24444995.0,19.5625,0,14,0.7632525587465733,0.0,29.166666666666668
All Other Specialty Food Retailers,595,249559800.0,419428.23529411765,183381555.0,13.346218487394959,7,46,0.7348200912166142,1.1764705882352942,7.73109243697479
All Other Specialty Food Stores,405,143188600.0,353552.0987654321,113239500.0,13.155555555555555,10,134,0.7908415893444031,2.4691358024691357,33.08641975308642
All Other Specialty Trade Contractors,5684,2697800700.0,474630.66502463055,1995683898.45,10.112948627726952,73,1172,0.7397447478051289,1.2843068261787474,20.619282195636874
All Other Support Activities for Transportation,170,51490400.0,302884.70588235295,37793155.0,7.129411764705883,9,30,0.7339844903127574,5.294117647058823,17.647058823529413
All Other Support Services,339,154709300.0,456369.616519174,115048775.0,11.14749262536873,10,78,0.7436448552220196,2.949852507374631,23.008849557522122
All Other Telecommunications,217,144138400.0,664232.2580645161,111483060.0,12.391705069124423,6,52,0.773444550515338,2.7649769585253456,23.963133640552996
All Other Transit and Ground Passenger Transportation,284,71657200.0,252314.08450704225,51977190.0,11.830985915492958,16,54,0.7253589311332288,5.633802816901408,19.014084507042252
All Other Transportation Equipment Manufacturing,90,62450900.0,693898.8888888889,47677785.0,11.488888888888889,0,17,0.7634443218592526,0.0,18.88888888888889
All Other Travel Arrangement and Reservation Services,83,22077200.0,265990.3614457831,15475940.0,5.0120481927710845,4,14,0.7009919736198431,4.819277108433735,16.867469879518072
All Other Traveler Accommodation,169,120781100.0,714681.0650887574,91959160.0,6.745562130177515,1,30,0.7613704462039177,0.591715976331361,17.75147928994083
Alumina Refining and Primary Aluminum Production,5,538000.0,107600.0,404800.0,5.0,0,0,0.7524163568773234,0.0,0.0
Aluminum Foundries (except Die-Casting),3,2864000.0,954666.6666666666,2148000.0,7.666666666666667,0,0,0.75,0.0,0.0
"Aluminum Sheet, Plate, and Foil Manufacturing",14,15566500.0,1111892.857142857,11980625.0,17.428571428571427,0,3,0.7696415379179649,0.0,21.428571428571427
Ambulance Services,164,86198800.0,525602.4390243902,64419505.0,34.11585365853659,1,31,0.7473364478391811,0.6097560975609756,18.902439024390244
Ammunition (except Small Arms) Manufacturing,5,8461800.0,1692360.0,6813390.0,16.0,0,2,0.805193930369425,0.0,40.0
Amusement Arcades,351,200029000.0,569883.1908831908,150737925.0,15.578347578347579,12,43,0.753580355848402,3.4188034188034186,12.250712250712251
Amusement and Theme Parks,130,155393500.0,1195334.6153846155,117920685.0,26.915384615384614,3,23,0.7588521077136431,2.3076923076923075,17.692307692307693
Analytical Laboratory Instrument Manufacturing,29,38156900.0,1315755.1724137932,31605805.0,15.931034482758621,0,13,0.828311655296945,0.0,44.827586206896555
Animal (except Poultry) Slaughtering,66,45884500.0,695219.696969697,34099820.0,13.530303030303031,0,14,0.7431664287504495,0.0,21.21212121212121
Apiculture,32,7284500.0,227640.625,5591845.0,4.90625,1,7,0.7676360766010021,3.125,21.875
Apparel Accessories and Other Apparel Manufacturing,350,156225600.0,446358.85714285716,118127945.0,11.514285714285714,8,51,0.7561369263424176,2.2857142857142856,14.571428571428571
Apparel Knitting Mills,9,5257500.0,584166.6666666666,3923275.0,5.777777777777778,0,2,0.7462244412743699,0.0,22.22222222222222
Apple Orchards,9,3856500.0,428500.0,2979375.0,28.77777777777778,0,1,0.7725593154414625,0.0,11.11111111111111
Appliance Repair and Maintenance,327,69246100.0,211761.7737003058,52946300.0,6.042813455657492,16,35,0.764610570125971,4.892966360856269,10.703363914373089
Apprenticeship Training,5,932200.0,186440.0,699870.0,8.2,1,0,0.7507723664449689,20.0,0.0
Architectural Services,752,314660100.0,418430.9840425532,231292080.6,7.464095744680851,9,118,0.7350537313119776,1.196808510638298,15.691489361702128
Armored Car Services,1,900000.0,900000.0,810000.0,123.0,0,0,0.9,0.0,0.0
Art Dealers,193,63094000.0,326911.9170984456,47545260.0,3.9585492227979273,7,31,0.7535623038640759,3.626943005181347,16.06217616580311
Artificial and Synthetic Fibers and Filaments Manufacturing,2,2684100.0,1342050.0,2013075.0,19.5,0,0,0.75,0.0,0.0
Asphalt Paving Mixture and Block Manufacturing,61,32069700.0,525732.7868852459,22958600.0,13.934426229508198,1,16,0.7158969369841315,1.639344262295082,26.229508196721312
Asphalt Shingle and Coating Materials Manufacturing,4,4283000.0,1070750.0,3493500.0,5.0,0,0,0.8156665888395984,0.0,0.0
Assisted Living Facilities for the Elderly,1409,1742671800.0,1236814.6202980836,1338479892.33,14.095102909865153,5,289,0.7680619450719292,0.35486160397445,20.51100070972321
Audio and Video Equipment Manufacturing,109,59941100.0,549918.3486238532,47489570.0,8.082568807339449,6,19,0.7922705789516709,5.504587155963303,17.431192660550458
"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",11,3326000.0,302363.63636363635,2648650.0,5.090909090909091,0,3,0.7963469633193024,0.0,27.272727272727273
Automobile Driving Schools,120,29967100.0,249725.83333333334,22929785.0,9.483333333333333,0,19,0.7651652979434113,0.0,15.833333333333334
Automobile Manufacturing,2,1171700.0,585850.0,878775.0,4.0,1,0,0.75,50.0,0.0
Automobile and Light Duty Motor Vehicle Manufacturing,9,5378000.0,597555.5555555555,4011000.0,7.777777777777778,1,0,0.7458162885831164,11.11111111111111,0.0
Automobile and Other Motor Vehicle Merchant Wholesalers,250,182950000.0,731800.0,143722520.0,9.108,11,65,0.7855836020770702,4.4,26.0
"Automotive Body, Paint, and Interior Repair and Maintenance",1702,968450100.0,569007.1092831963,732615411.4,7.516451233842538,18,287,0.7564823540211313,1.0575793184488838,16.862514688601646
Automotive Exhaust System Repair,15,6518500.0,434566.6666666667,4981100.0,3.8,0,6,0.7641481936028227,0.0,40.0
Automotive Glass Replacement Shops,351,118873900.0,338672.0797720798,90297820.0,6.547008547008547,9,57,0.7596101415028866,2.5641025641025643,16.23931623931624
Automotive Oil Change and Lubrication Shops,395,290227100.0,734752.1518987342,223394556.9,12.118987341772153,5,98,0.7697232853169121,1.2658227848101267,24.810126582278482
Automotive Parts and Accessories Retailers,649,274248200.0,422570.4160246533,201432560.0,7.0878274268104775,4,41,0.7344899984758332,0.6163328197226502,6.317411402157165
Automotive Parts and Accessories Stores,371,194741400.0,524909.4339622641,155835150.0,7.590296495956873,7,131,0.8002158246782657,1.8867924528301887,35.309973045822105
