BankName,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
1NB Bank,4,1044000.0,261000.0,726900.0,3.75,0,1,0.6962643678160919,0.0,25.0
1st Community FCU,7,5972000.0,853142.8571428572,4502600.0,12.428571428571429,0,1,0.7539517749497656,0.0,14.285714285714286
1st Financial Bank USA,85,167326500.0,1968547.0588235294,126576375.0,10.952941176470588,2,5,0.7564634113544477,2.3529411764705883,5.882352941176471
1st National Bank,2,2142500.0,1071250.0,1846875.0,18.5,0,1,0.8620186697782963,0.0,50.0
1st Security Bank of Washington,123,18926400.0,153873.17073170733,14009030.0,8.0,0,27,0.7401846098571307,0.0,21.951219512195124
1st Source Bank,564,114640400.0,203263.12056737588,81234787.4,7.700354609929078,5,192,0.708605233408118,0.8865248226950354,34.04255319148936
1st State Bank,64,27503900.0,429748.4375,20375280.0,11.234375,0,16,0.7408142118026898,0.0,25.0
1st Summit Bank,2,1490000.0,745000.0,1132500.0,15.0,0,0,0.7600671140939598,0.0,0.0
21st Century Bank,222,94170800.0,424192.7927927928,73030530.0,16.68018018018018,0,80,0.7755114111805358,0.0,36.03603603603604
"22nd State Bank, A Division of 22nd State Banking Company",315,366273800.0,1162773.9682539683,287567095.0,15.00952380952381,0,54,0.785115110608512,0.0,17.142857142857142
360 FCU,1,80600.0,80600.0,68510.0,4.0,0,0,0.85,0.0,0.0
4Front Credit Union,93,27950200.0,300539.7849462366,21329635.0,11.763440860215054,0,16,0.7631299597140628,0.0,17.204301075268816
5Star Bank,11,3916000.0,356000.0,3044455.0,14.727272727272727,0,4,0.7774399897854954,0.0,36.36363636363637
A N E C A FCU,6,1173100.0,195516.66666666666,850585.0,10.666666666666666,0,2,0.7250745886966158,0.0,33.333333333333336
ACC Capital,83,35019500.0,421921.686746988,26437365.0,13.566265060240964,1,13,0.7549326803637973,1.2048192771084338,15.662650602409638
ACNB Bank,15,15250400.0,1016693.3333333334,11788250.0,12.866666666666667,0,5,0.772979725121964,0.0,33.333333333333336
AG CREDIT ACA,1,315000.0,315000.0,236250.0,2.0,0,0,0.75,0.0,0.0
"AMPAC Tri-State CDC, Inc.",214,35975400.0,168109.34579439252,27787980.0,7.299065420560748,4,11,0.7724161510365416,1.8691588785046729,5.140186915887851
AVB Bank,7,2706600.0,386657.14285714284,2175715.0,10.714285714285714,0,3,0.8038553905268603,0.0,42.857142857142854
AbbyBank,14,3828800.0,273485.71428571426,2790700.0,14.857142857142858,0,1,0.728870664437944,0.0,7.142857142857143
Abound FCU,1,317800.0,317800.0,238350.0,5.0,0,0,0.75,0.0,0.0
Academy Bank National Association,41,21899900.0,534143.9024390244,15637435.0,22.21951219512195,0,8,0.7140413883168416,0.0,19.51219512195122
Acadia FCU,13,1631900.0,125530.76923076923,878450.0,1.8461538461538463,0,6,0.5382989153747166,0.0,46.15384615384615
Access Bank,9,13545100.0,1505011.111111111,10577825.0,18.77777777777778,0,3,0.7809336955799514,0.0,33.333333333333336
Access to Capital for Entrepreneurs,1,248000.0,248000.0,186000.0,16.0,0,1,0.75,0.0,100.0
